ID_cliente,nombre,apellido,direccion,telefeno,DNI,cuil,ID_ciudad
1,Angelico,Berzin,61 Pawling Hill,3537185385,167722405,493829149,10
2,Chane,Shulem,11831 Parkside Drive,1591652117,362713901,789715708,9
3,Leesa,Hunn,1023 Bayside Court,5193786136,363879373,501550052,8
4,Meris,Fesby,111 Fordem Alley,8383764129,196965590,552056904,7
5,Corry,Finnimore,37 Mifflin Road,3124396095,679079506,507365404,6
6,Lacie,Serot,45 Barby Crossing,2022538705,166402222,286935905,5
7,Damiano,Salmoni,0 Hoffman Circle,6078420269,205153848,376540334,4
8,Damita,Colleford,30 Meadow Valley Drive,1558441274,255491735,714609352,3
9,Theda,Cutchie,8197 Dottie Parkway,9042352977,883266293,217306494,2
10,Connie,Piggrem,22 Shoshone Circle,2266220165,293524837,680467671,1
