ID_proveedor,nombre,apellido,direccion,telefono,DNI,cuil,ID_ciudad,CBU
1,Delbert,Patillo,Brown,4176544776,6993778,4874852018,1,891
2,De,Handrik,Mesta,8126507430,4699884,5274437487,2,69
3,Wheeler,Fewless,Maryland,1177188387,5625912,3215982563,3,992
4,Carleton,Emeny,Arrowood,9504451487,9646259,2469112455,4,9
5,Auberta,Petasch,Forster,6664073774,2674744,3387030904,5,302
6,Loni,Scallan,Dayton,6154890684,1363792,8813082369,6,8004
7,Ara,MacNulty,Comanche,5712622328,4293265,7735437118,7,674
8,Judith,Cullnean,Weeping Birch,8231150980,6927454,7380789801,8,307
9,Giralda,Symms,Hoffman,5756261975,3492262,7496168545,9,32
10,Reese,Kissock,Emmet,1027027480,3507022,1249253074,10,142

